index_label,单词数,超链接,带话题,疫情相关,信用等级
0,1,False,False,False,"中
"
1,72,True,True,False,"中
"
2,3,False,False,False,"中
"
3,19,False,False,False,"中
"
4,22,True,False,False,"中
"
5,24,True,False,False,"中
"
6,88,False,True,False,"中
"
7,77,False,True,False,"中
"
8,22,False,False,False,"中
"
9,46,False,True,False,"中
"
10,31,True,True,False,"中
"
11,79,False,False,False,"中
"
12,74,False,False,True,"中
"
13,42,False,True,False,"中
"
14,62,False,True,False,"中
"
15,60,True,True,True,"正常
"
16,71,False,False,True,"正常
"
17,65,False,True,True,"中
"
18,20,True,False,False,"中
"
19,23,True,False,False,"低
"
20,74,False,True,False,"中
"
21,54,True,False,False,"中
"
22,41,True,False,False,"正常
"
23,15,True,False,False,"正常
"
24,74,False,False,True,"中
"
25,0,False,False,False,"中
"
26,15,False,True,False,"中
"
27,54,True,False,False,"中
"
28,40,False,False,False,"正常
"
29,23,True,False,False,"正常
"
30,4,False,False,False,"中
"
31,14,True,False,True,"中
"
32,13,False,False,False,"正常
"
33,75,False,False,False,"中
"
34,11,False,False,False,"正常
"
35,36,True,False,False,"正常
"
36,13,True,False,False,"中
"
37,42,False,False,False,"中
"
38,37,True,False,False,"中
"
39,31,False,False,False,"正常
"
40,17,True,False,False,"中
"
41,16,False,True,False,"中
"
42,1,False,False,False,"正常
"
43,39,True,False,False,"正常
"
44,14,True,False,False,"中
"
45,71,False,False,True,"中
"
46,77,False,True,True,"正常
"
47,35,True,False,True,"中
"
48,40,True,False,False,"中
"
49,30,True,True,True,"正常
"
50,74,False,False,False,"正常
"
51,57,False,False,False,"正常
"
52,55,False,True,False,"正常
"
53,5,False,False,False,"正常
"
54,26,False,True,True,"正常
"
55,23,True,False,True,"中
"
56,74,False,False,True,"中
"
57,1,False,False,False,"中
"
58,48,False,False,True,"正常
"
59,78,False,False,False,"中
"
60,55,False,False,False,"中
"
61,44,False,False,True,"中
"
62,31,True,False,False,"中
"
63,45,False,False,False,"低
"
64,59,True,False,False,"正常
"
65,11,True,False,False,"中
"
66,11,False,False,False,"中
"
67,42,True,False,False,"正常
"
68,20,True,False,False,"中
"
69,31,True,False,False,"中
"
70,35,False,False,True,"正常
"
71,8,False,False,False,"中
"
72,52,False,False,True,"正常
"
73,80,True,True,False,"正常
"
74,1,False,False,False,"中
"
75,17,False,True,True,"正常
"
76,65,False,True,True,"低
"
77,12,False,True,False,"正常
"
78,27,True,True,False,"正常
"
79,41,False,False,True,"正常
"
80,33,True,False,False,"中
"
81,60,True,False,True,"中
"
82,37,True,False,False,"正常
"
83,22,True,False,True,"中
"
84,48,True,True,True,"正常
"
85,64,False,False,True,"正常
"
86,74,False,False,True,"正常
"
87,1,False,False,False,"中
"
88,38,False,False,True,"中
"
89,72,False,False,False,"中
"
90,20,True,False,False,"中
"
91,38,False,False,True,"正常
"
92,67,True,False,True,"中
"
93,12,False,False,True,"正常
"
94,68,False,False,True,"正常
"
95,63,True,True,True,"正常
"
96,49,True,True,True,"正常
"
97,42,False,False,True,"中
"
98,41,True,True,True,"正常
"
99,24,True,True,True,"正常
"
100,7,False,False,False,"正常
"
101,77,False,False,True,"正常
"
102,2,False,False,False,"中
"
103,36,True,False,False,"正常
"
104,34,True,False,True,"正常
"
105,70,False,False,True,"正常
"
106,19,False,False,False,"中
"
107,31,True,False,True,"正常
"
108,60,True,False,False,"中
"
109,77,True,True,False,"正常
"
110,39,True,True,False,"中
"
111,15,False,True,True,"正常
"
112,38,False,False,True,"中
"
113,15,True,False,False,"中
"
114,71,False,False,True,"正常
"
115,23,True,False,False,"中
"
116,75,False,True,True,"正常
"
117,78,False,False,True,"正常
"
118,17,False,False,True,"中
"
119,61,True,False,False,"中
"
120,63,False,False,False,"中
"
121,23,True,False,False,"正常
"
122,28,True,False,False,"正常
"
123,11,False,True,False,"正常
"
124,63,False,False,False,"正常
"
125,25,True,False,False,"正常
"
126,23,True,False,False,"中
"
127,47,False,False,False,"正常
"
128,59,True,True,False,"正常
"
129,68,False,False,False,"正常
"
130,71,False,False,False,"正常
"
131,90,False,False,False,"中
"
132,78,False,False,False,"正常
"
133,20,True,False,False,"正常
"
134,24,True,False,False,"正常
"
135,11,False,False,False,"正常
"
136,65,False,False,False,"中
"
137,25,True,False,False,"正常
"
138,16,False,False,False,"正常
"
139,23,False,True,False,"正常
"
140,46,True,True,False,"正常
"
141,21,False,False,False,"正常
"
142,12,False,False,False,"中
"
143,43,False,False,False,"正常
"
144,23,True,False,False,"正常
"
145,8,False,False,False,"正常
"
146,102,False,False,False,"正常
"
147,29,True,True,False,"中
"
148,36,False,False,False,"正常
"
149,0,False,False,False,"正常
"
150,45,True,False,False,"中
"
151,36,True,True,False,"正常
"
152,13,True,False,False,"正常
"
153,71,False,False,False,"正常
"
154,13,False,False,False,"正常
"
155,20,False,False,False,"正常
"
156,50,True,False,False,"正常
"
157,24,True,False,False,"正常
"
158,7,False,False,False,"正常
"
159,28,False,False,False,"中
"
160,51,False,False,False,"正常
"
161,80,False,False,False,"中
"
